Reference, Value, Footprint,Manufacture,Manufacture Part Number,Quantity,Specification
U1,IC REG LDO 3.3V 1A  ,SOT223,ON Semiconductor ,NCP1117ST33T3G ,1,http://www.digikey.com/product-detail/en/NCP1117ST33T3G/NCP1117ST33T3GOSCT-ND/660708
J2,CONN MICRO SD CARD HINGED TYPE , SD CARD HINGED TYPE ,"Molex, LLC ",0472192001 ,1,http://www.digikey.com/product-detail/en/0472192001/WM6698CT-ND/3044147
R1,RES SMD 470 OHM 5% 1/4W 1206,1206,YAGEO,RC1206JR-07470RL,1,http://www.digikey.com/product-detail/en/RC1206JR-07470RL/311-470ERCT-ND/732248
"R6,R7,R8,R9,R10",RES SMD 12K OHM 5% 1/4W 1206,1206,YAGEO,RC1206JR-0712KL,5,http://www.digikey.com/product-detail/en/RC1206JR-0712KL/311-12KERTR-ND/729218
"R11,R12,R13,R14,R15",RES SMD 51K OHM 5% 1/4W 1206,1206,YAGEO,RC1206JR-0751KL,5,http://www.digikey.com/product-detail/en/RC1206JR-0751KL/311-51KERCT-ND/732260
R2,RES SMD 220K OHM 5% 1/4W 1206,1206,YAGEO,RC1206JR-07220KL ,1,http://www.digikey.com/product-detail/en/RC1206JR-07220KL/311-220KERCT-ND/732199
R3,RES SMD 100K OHM 5% 1/4W 1206,1206,YAGEO,RC1206JR-07100KL ,1,http://www.digikey.com/product-detail/en/RC1206JR-07100KL/311-100KERCT-ND/732154
C1,CAP TANT 100UF 6.3V 20% 1210,1210,AVX Corporation ,F920J107MBA ,1,http://www.digikey.com/product-detail/en/F920J107MBA/478-8116-1-ND/4005684
C2,CAP CER 0.1UF 10V X5R 0402 ,0402,Kemet,C0402C104K8PACTU ,1,http://www.digikey.com/product-detail/en/C0402C104K8PACTU/399-3027-1-ND/447601
C3,CAP CER 1000PF 50V X7R 0402 ,0402,Kemet,C0402C102K5RACTU ,1,http://www.digikey.com/product-detail/en/C0402C102K5RACTU/399-1032-1-ND/411307
"SW1,SW2",SWITCH TACTILE SPST-NO 0.05A 32V,SMD 6.20mm x 6.20mm,C&K Components ,KSEM31J LFS ,2,http://www.digikey.com/product-detail/en/KSEM31J%20LFS/CKN10425CT-ND/3487191
